route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
16,44,"MONTGOMERY - TERVUREN STATION",,0,,E3BA12,000000
61,45,"ROODEBEEK - SAINT-VINCENT",,3,,B085B3,FFFFFF
39,46,"MOORTEBEEK - GLIBERT",,3,,DE3B21,FFFFFF
72,47,"HEEMBEEK - VILVOORDE STATION",,3,,B085B3,FFFFFF
70,48,"ANNEESSENS - DECROLY",,3,,338C26,FFFFFF
29,49,"GARE DU MIDI - SIMONIS",,3,,36578C,FFFFFF
40,50,"GARE DU MIDI - LOT STATION",,3,,B5BA05,000000
12,51,"STADE - VAN HAELEN",,0,,E3BA12,000000
73,53,"WESTLAND SHOPPING - HOPITAL MILITAIRE",,3,,338C26,FFFFFF
30,54,"TRONE - FOREST (BERVOETS)",,3,,DE3B21,FFFFFF
15,55,"DA VINCI - ROGIER",,0,,E3BA12,000000
74,56,"SCHUMAN - BUDA",,3,,E87D0D,FFFFFF
75,57,"GARE DU NORD - HOPITAL MILITAIRE",,3,,DE3B21,FFFFFF
69,58,"VILVOORDE STATION - YSER",,3,,338C26,FFFFFF
62,59,"HOPITAL ETTERBEEK-IXELLES - BORDET STATION",,3,,996308,FFFFFF
48,60,"AMBIORIX - UCCLE CALEVOET",,3,,FF9EC2,000000
49,61,"GARE DU NORD - MONTGOMERY",,3,,F7E017,000000
7,62,"EUROCONTROL - CIMETIERE DE JETTE",,0,,FF9EC2,000000
64,63,"GARE CENTRALE - CIMETIERE DE BRUXELLES",,3,,9EBFE3,000000
65,64,"PORTE DE NAMUR - BORDET STATION",,3,,DE3B21,FFFFFF
66,65,"GARE CENTRALE - MACHELEN",,3,,E3BA12,000000
67,66,"DE BROUCKERE - PEAGE",,3,,36578C,FFFFFF
63,69,"SCHAERBEEK GARE - JULES BORDET",,3,,E87D0D,FFFFFF
50,71,"DE BROUCKERE - DELTA",,3,,338C26,FFFFFF
51,72,"ULB - ADEPS",,3,,FF9EC2,000000
31,75,"CERIA - BON AIR",,3,,F7E017,000000
52,76,"KRAAINEM - OPPEM",,3,,F7E017,000000
53,77,"KRAAINEM - HIPPODROME",,3,,338C26,FFFFFF
71,78,"HUMANITE - GARE DU MIDI",,3,,B085B3,FFFFFF
68,79,"KRAAINEM - SCHUMAN",,3,,36578C,FFFFFF
55,80,"PORTE DE NAMUR - HAREN",,3,,338C26,FFFFFF
18,81,"MARIUS RENARD - MONTGOMERY",,0,,338C26,FFFFFF
13,82,"BERCHEM STATION - DROGENBOS CHATEAU",,0,,9EBFE3,000000
33,83,"BERCHEM STATION - HEYSEL",,3,,B5BA05,000000
34,86,"MACHTENS - GARE CENTRALE",,3,,338C26,FFFFFF
35,87,"SIMONIS - BEEKKANT",,3,,338C26,FFFFFF
36,88,"DE BROUCKERE - UZ-VUB",,3,,991F36,FFFFFF
37,89,"WESTLAND SHOPPING - BOCKSTAEL",,3,,E87D0D,FFFFFF
19,92,"SCHAERBEEK GARE - FORT-JACO",,0,,DE3B21,FFFFFF
21,93,"STADE - LEGRAND",,0,,E87D0D,FFFFFF
56,95,"GRAND-PLACE - WIENER",,3,,36578C,FFFFFF
20,97,"LOUISE - DIEWEG",,0,,991F36,FFFFFF
32,98,"CERIA - HEROS",,3,,E87D0D,FFFFFF
54,T39,"STOCKEL - BAN-EIK",,3,,DE3B21,FFFFFF
38,T93,"STADE - LEGRAND",,3,,E87D0D,FFFFFF
